Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Gift Card,SEO Title,SEO Description,Status
vm-wartung-kette,Ketten-Wartungspaket,"<p><strong>Empfohlen von deinem VM Pro Bike Health System</strong> — basierend auf deinen Strava-Kilometern und Fahrbedingungen.</p>
<p>Eine verschlissene Kette ist der häufigste Grund für vorzeitigen Kassetten- und Kettensternverschleiß. Unser Ketten-Wartungspaket enthält alles für einen sauberen Kettenwechsel am Rennrad.</p>
<h3>Im Paket enthalten</h3>
<ul>
<li>1× Hochwertige Rennrad-Kette (11-fach / 12-fach wählbar)</li>
<li>1× Kettennieter / Quicklink (passend zur Kette)</li>
<li>1× Kettenöl (50 ml) für die Erstbefettung nach dem Einbau</li>
<li>1× Kettenverschleißlehre zur Erfolgskontrolle</li>
</ul>
<h3>Wann tauschen?</h3>
<p>Dein VM Pro System empfiehlt den Wechsel nach ca. 2.000–2.500 km (konditionsabhängig). Ab 0,75 mm Kettenlängung (messbar mit der beiliegenden Lehre) unbedingt sofort tauschen — sonst leidet die Kassette.</p>
<p><em>Einbau durch einen Fachbetrieb empfohlen.</em></p>",veloMatch,Wartungspaket,"vm-wartung-chain, vm-pro, wartung, antrieb, kette",TRUE,Ausführung,11-fach,VM-KETTE-11,350,shopify,5,deny,manual,34.90,,TRUE,TRUE,FALSE,Ketten-Wartungspaket — veloMatch VM Pro,Ketten-Wartungspaket für Rennrad mit Kettennieter und Öl. Empfohlen vom VM Pro Bike Health System nach Strava-km-Auswertung.,active
vm-wartung-kette,,,,,,,,12-fach,VM-KETTE-12,350,shopify,5,deny,manual,39.90,,TRUE,TRUE,FALSE,,,
vm-wartung-kassette,Kassetten-Wartungspaket,"<p><strong>Empfohlen von deinem VM Pro Bike Health System</strong> — basierend auf deinen Strava-Kilometern und Fahrbedingungen.</p>
<p>Die Kassette arbeitet Hand in Hand mit der Kette. Regelmäßig gewechselte Ketten schonen die Kassette — spätestens beim dritten Kettenwechsel ist jedoch auch die Kassette fällig.</p>
<h3>Im Paket enthalten</h3>
<ul>
<li>1× Rennrad-Kassette (Zähnezahl wählbar)</li>
<li>1× Kassettenabzieher-Adapter (kompatibel Shimano/SRAM)</li>
<li>1× Entfetter-Spray (100 ml) für die Nabe</li>
</ul>
<h3>Wann tauschen?</h3>
<p>Dein VM Pro System trackt den Kassettenverschleiß ab ca. 7.000–8.000 km. Erkennbar an überspringenden Gängen unter Last oder sichtbar abgenutzten Zahnflanken.</p>
<p><em>Einbau durch einen Fachbetrieb empfohlen.</em></p>",veloMatch,Wartungspaket,"vm-wartung-cassette, vm-pro, wartung, antrieb, kassette",TRUE,Ausführung,11-28T (11-fach),VM-KASS-1128-11,420,shopify,5,deny,manual,59.90,,TRUE,TRUE,FALSE,Kassetten-Wartungspaket — veloMatch VM Pro,Kassetten-Wartungspaket für Rennrad. Empfohlen vom VM Pro Bike Health System nach Strava-km-Auswertung.,active
vm-wartung-kassette,,,,,,,,11-30T (11-fach),VM-KASS-1130-11,420,shopify,5,deny,manual,64.90,,TRUE,TRUE,FALSE,,,
vm-wartung-kassette,,,,,,,,11-28T (12-fach),VM-KASS-1128-12,420,shopify,5,deny,manual,79.90,,TRUE,TRUE,FALSE,,,
vm-wartung-kassette,,,,,,,,11-34T (12-fach),VM-KASS-1134-12,420,shopify,5,deny,manual,84.90,,TRUE,TRUE,FALSE,,,
vm-wartung-bremsbelaege,Bremsbeläge-Wartungsset,"<p><strong>Empfohlen von deinem VM Pro Bike Health System</strong> — basierend auf deinen Strava-Kilometern, Höhenmetern und Witterungsbedingungen.</p>
<p>Bremsbeläge unterliegen bei viel Bergfahrt und nassem Wetter erhöhtem Verschleiß. Das VM Pro System gewichtet deinen Höhenmeter-Anteil aus Strava automatisch mit ein.</p>
<h3>Im Paket enthalten</h3>
<ul>
<li>1× Satz Bremsbeläge vorne + hinten (Disc oder Felge wählbar)</li>
<li>1× Isopropanol-Reinigungstuch für Scheibe/Felge vor dem Einbau</li>
<li>1× Einbauanleitung (PDF-Link im Bestätigungsmail)</li>
</ul>
<h3>Wann tauschen?</h3>
<p>Disc-Beläge: unter 1,5 mm Restmaterial sofort tauschen. Felgenbeläge: bei Verschleißindikator (Kerbe) oder Rissbildung. Quietschen nach nasser Fahrt ist normal — anhaltend trockenes Quietschen bedeutet Handlungsbedarf.</p>
<p><em>Einbau durch einen Fachbetrieb empfohlen.</em></p>",veloMatch,Wartungspaket,"vm-wartung-brakepads, vm-pro, wartung, bremse, bremsbeläge",TRUE,Ausführung,Disc (Shimano),VM-BPADS-DISC-SH,180,shopify,8,deny,manual,39.90,,TRUE,TRUE,FALSE,Bremsbeläge-Wartungsset — veloMatch VM Pro,Bremsbeläge-Wartungsset für Rennrad. Empfohlen vom VM Pro Bike Health System nach Strava-Höhenmeter- und Witterungsauswertung.,active
vm-wartung-bremsbelaege,,,,,,,,Disc (SRAM),VM-BPADS-DISC-SR,180,shopify,8,deny,manual,39.90,,TRUE,TRUE,FALSE,,,
vm-wartung-bremsbelaege,,,,,,,,Felge (Kork/Gummi),VM-BPADS-RIM,120,shopify,10,deny,manual,24.90,,TRUE,TRUE,FALSE,,,
vm-wartung-zuege,Schalt- & Bremszüge Set,"<p><strong>Empfohlen von deinem VM Pro Bike Health System</strong> — basierend auf deinen Strava-Kilometern mit erhöhter Nassfahrt-Gewichtung.</p>
<p>Züge und Hüllen sind unsichtbare Verschleißteile — bis sie versagen. Nässefahrten beschleunigen Korrosion und Verhärtung der Außenhülle erheblich. Das VM Pro System berücksichtigt deinen Anteil an Herbst-/Winterfahrten automatisch.</p>
<h3>Im Paket enthalten</h3>
<ul>
<li>2× Schaltzug (Edelstahl, geölt)</li>
<li>2× Bremszug (Edelstahl, geölt)</li>
<li>Schalt-Außenhülle (2 m)</li>
<li>Brems-Außenhülle (2 m)</li>
<li>Endkappen-Sortiment + Hülsenstopfen</li>
<li>Teflon-Spray (50 ml) für Hülleninnenraum</li>
</ul>
<h3>Wann tauschen?</h3>
<p>Bei zögerlichem Schalten, hartem Schalthebeldruck oder sichtbarem Kabelfransen. Empfehlung: spätestens alle 2 Jahre unabhängig von den Kilometern.</p>
<p><em>Einbau durch einen Fachbetrieb empfohlen.</em></p>",veloMatch,Wartungspaket,"vm-wartung-cables, vm-pro, wartung, züge, schaltung",TRUE,Ausführung,Shimano kompatibel,VM-ZUEGE-SH,280,shopify,10,deny,manual,44.90,,TRUE,TRUE,FALSE,Schalt- & Bremszüge Set — veloMatch VM Pro,Schalt- und Bremszüge Set für Rennrad. Empfohlen vom VM Pro Bike Health System mit Nassfahrt-Gewichtung.,active
