Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Status
sram-red-e1-13s,SRAM Red E1 13s,<p><strong>Kompatibilität:</strong> Gravel — passend laut VeloMatch-Kompatibilitätsmatrix.</p>,SRAM,,Kette,"vm-kat-kette, 3t-racemax-wpnt-custom-build, 3t-racemax2-italia-custom-build, bmc-kaius-01-one, bmc-kaius-01-three, bmc-kaius-01-two, bmc-urs-01, cannondale-superx-1, cannondale-superx-lab71, canyon-grail-cf-sl-7-aero, canyon-grail-cfr-xplr, canyon-grizl-cf-8-w-rift, cervelo-aspero-5-red-xplr-axs, cervelo-aspero-rival-xplr-axs, colnago-g4-x-sram-force-xplr-1x13, colnago-g4-x-sram-red-xplr-axs, cube-nuroad-c-62-sl, cube-nuroad-c-62-slt, factor-ostro-gravel-force-xplr-axs, factor-ostro-gravel-red-xplr-axs, focus-atlas-8-9, giant-revolt-advanced-pro-0, open-u-p-2-0-force-xplr-axs, open-u-p-p-e-r-2-0-red-xplr-axs, orbea-terra-m30, orbea-terra-race-m10-m20ltd, orbea-terra-race-m30, pinarello-dogma-gr-red-xplr-axs, pinarello-grevil-f5, pinarello-grevil-f7, pinarello-grevil-f9, ridley-astr-rs-red-xplr-axs, ridley-kanzo-fast-2-0-force-xplr-axs, ridley-kanzo-fast-2-0-red-xplr-axs, rose-backroad-ff-red-xplr-axs, scott-addict-gravel-rc, specialized-crux-pro, specialized-diverge-expert-axs, specialized-diverge-pro-ltd, specialized-s-works-crux, trek-checkmate-slr-7-axs, trek-checkmate-slr-9-axs, trek-checkpoint-sl-6-axs, trek-checkpoint-sl-7-axs, wilier-rave-slr-id2-force-xplr-axs, wilier-rave-slr-id2-red-xplr-axs, wilier-rave-slr-red-xplr-axs",TRUE,Title,Default Title,VM-G-SRAMREDE113S,0,shopify,99,continue,manual,,,TRUE,TRUE,active
sram-force-e1-13s,SRAM Force E1 13s,<p><strong>Kompatibilität:</strong> Gravel — passend laut VeloMatch-Kompatibilitätsmatrix.</p>,SRAM,,Kette,"vm-kat-kette, 3t-racemax-wpnt-custom-build, 3t-racemax2-italia-custom-build, bmc-kaius-01-one, bmc-kaius-01-three, bmc-kaius-01-two, bmc-urs-01, cannondale-superx-1, cannondale-superx-lab71, canyon-grail-cf-sl-7-aero, canyon-grail-cfr-xplr, canyon-grizl-cf-8-w-rift, cervelo-aspero-5-red-xplr-axs, cervelo-aspero-rival-xplr-axs, colnago-g4-x-sram-force-xplr-1x13, colnago-g4-x-sram-red-xplr-axs, cube-nuroad-c-62-sl, cube-nuroad-c-62-slt, factor-ostro-gravel-force-xplr-axs, factor-ostro-gravel-red-xplr-axs, focus-atlas-8-9, giant-revolt-advanced-pro-0, open-u-p-2-0-force-xplr-axs, open-u-p-p-e-r-2-0-red-xplr-axs, orbea-terra-m30, orbea-terra-race-m10-m20ltd, orbea-terra-race-m30, pinarello-dogma-gr-red-xplr-axs, pinarello-grevil-f5, pinarello-grevil-f7, pinarello-grevil-f9, ridley-astr-rs-red-xplr-axs, ridley-kanzo-fast-2-0-force-xplr-axs, ridley-kanzo-fast-2-0-red-xplr-axs, rose-backroad-ff-red-xplr-axs, scott-addict-gravel-rc, specialized-crux-pro, specialized-diverge-expert-axs, specialized-diverge-pro-ltd, specialized-s-works-crux, trek-checkmate-slr-7-axs, trek-checkmate-slr-9-axs, trek-checkpoint-sl-6-axs, trek-checkpoint-sl-7-axs, wilier-rave-slr-id2-force-xplr-axs, wilier-rave-slr-id2-red-xplr-axs, wilier-rave-slr-red-xplr-axs",TRUE,Title,Default Title,VM-G-SRAMFORCEE113S,0,shopify,99,continue,manual,,,TRUE,TRUE,active
sram-rival-e1-13s,SRAM Rival E1 13s,<p><strong>Kompatibilität:</strong> Gravel — passend laut VeloMatch-Kompatibilitätsmatrix.</p>,SRAM,,Kette,"vm-kat-kette, 3t-racemax-wpnt-custom-build, 3t-racemax2-italia-custom-build, bmc-kaius-01-one, bmc-kaius-01-three, bmc-kaius-01-two, bmc-urs-01, cannondale-superx-1, cannondale-superx-lab71, canyon-grail-cf-sl-7-aero, canyon-grail-cfr-xplr, canyon-grizl-cf-8-w-rift, cervelo-aspero-5-red-xplr-axs, cervelo-aspero-rival-xplr-axs, colnago-g4-x-sram-force-xplr-1x13, colnago-g4-x-sram-red-xplr-axs, cube-nuroad-c-62-sl, cube-nuroad-c-62-slt, factor-ostro-gravel-force-xplr-axs, factor-ostro-gravel-red-xplr-axs, focus-atlas-8-9, giant-revolt-advanced-pro-0, open-u-p-2-0-force-xplr-axs, open-u-p-p-e-r-2-0-red-xplr-axs, orbea-terra-m30, orbea-terra-race-m10-m20ltd, orbea-terra-race-m30, pinarello-dogma-gr-red-xplr-axs, pinarello-grevil-f5, pinarello-grevil-f7, pinarello-grevil-f9, ridley-astr-rs-red-xplr-axs, ridley-kanzo-fast-2-0-force-xplr-axs, ridley-kanzo-fast-2-0-red-xplr-axs, rose-backroad-ff-red-xplr-axs, scott-addict-gravel-rc, specialized-crux-pro, specialized-diverge-expert-axs, specialized-diverge-pro-ltd, specialized-s-works-crux, trek-checkmate-slr-7-axs, trek-checkmate-slr-9-axs, trek-checkpoint-sl-6-axs, trek-checkpoint-sl-7-axs, wilier-rave-slr-id2-force-xplr-axs, wilier-rave-slr-id2-red-xplr-axs, wilier-rave-slr-red-xplr-axs",TRUE,Title,Default Title,VM-G-SRAMRIVALE113S,0,shopify,99,continue,manual,,,TRUE,TRUE,active
sram-red-xg-1391-e1-10-46,SRAM Red XG-1391-E1 10-46,<p><strong>Kompatibilität:</strong> Gravel — passend laut VeloMatch-Kompatibilitätsmatrix.</p>,SRAM,,Kassette,"vm-kat-kassette, 3t-racemax-wpnt-custom-build, 3t-racemax2-italia-custom-build, bmc-kaius-01-one, bmc-kaius-01-three, bmc-kaius-01-two, bmc-urs-01, cannondale-superx-1, cannondale-superx-lab71, canyon-grail-cf-sl-7-aero, canyon-grail-cfr-xplr, canyon-grizl-cf-8-w-rift, cervelo-aspero-5-red-xplr-axs, cervelo-aspero-rival-xplr-axs, colnago-g4-x-sram-force-xplr-1x13, colnago-g4-x-sram-red-xplr-axs, cube-nuroad-c-62-sl, cube-nuroad-c-62-slt, factor-ostro-gravel-force-xplr-axs, factor-ostro-gravel-red-xplr-axs, focus-atlas-8-9, giant-revolt-advanced-pro-0, open-u-p-2-0-force-xplr-axs, open-u-p-p-e-r-2-0-red-xplr-axs, orbea-terra-m30, orbea-terra-race-m10-m20ltd, orbea-terra-race-m30, pinarello-dogma-gr-red-xplr-axs, pinarello-grevil-f5, pinarello-grevil-f7, pinarello-grevil-f9, ridley-astr-rs-red-xplr-axs, ridley-kanzo-fast-2-0-force-xplr-axs, ridley-kanzo-fast-2-0-red-xplr-axs, rose-backroad-ff-red-xplr-axs, scott-addict-gravel-rc, specialized-crux-pro, specialized-diverge-expert-axs, specialized-diverge-pro-ltd, specialized-s-works-crux, trek-checkmate-slr-7-axs, trek-checkmate-slr-9-axs, trek-checkpoint-sl-6-axs, trek-checkpoint-sl-7-axs, wilier-rave-slr-id2-force-xplr-axs, wilier-rave-slr-id2-red-xplr-axs, wilier-rave-slr-red-xplr-axs",TRUE,Title,Default Title,VM-G-SRAMREDXG1391E11,0,shopify,99,continue,manual,,,TRUE,TRUE,active
sram-force-xg-1371-10-46,SRAM Force XG-1371 10-46,<p><strong>Kompatibilität:</strong> Gravel — passend laut VeloMatch-Kompatibilitätsmatrix.</p>,SRAM,,Kassette,"vm-kat-kassette, 3t-racemax-wpnt-custom-build, 3t-racemax2-italia-custom-build, bmc-kaius-01-one, bmc-kaius-01-three, bmc-kaius-01-two, bmc-urs-01, cannondale-superx-1, cannondale-superx-lab71, canyon-grail-cf-sl-7-aero, canyon-grail-cfr-xplr, canyon-grizl-cf-8-w-rift, cervelo-aspero-5-red-xplr-axs, cervelo-aspero-rival-xplr-axs, colnago-g4-x-sram-force-xplr-1x13, colnago-g4-x-sram-red-xplr-axs, cube-nuroad-c-62-sl, cube-nuroad-c-62-slt, factor-ostro-gravel-force-xplr-axs, factor-ostro-gravel-red-xplr-axs, focus-atlas-8-9, giant-revolt-advanced-pro-0, open-u-p-2-0-force-xplr-axs, open-u-p-p-e-r-2-0-red-xplr-axs, orbea-terra-m30, orbea-terra-race-m10-m20ltd, orbea-terra-race-m30, pinarello-dogma-gr-red-xplr-axs, pinarello-grevil-f5, pinarello-grevil-f7, pinarello-grevil-f9, ridley-astr-rs-red-xplr-axs, ridley-kanzo-fast-2-0-force-xplr-axs, ridley-kanzo-fast-2-0-red-xplr-axs, rose-backroad-ff-red-xplr-axs, scott-addict-gravel-rc, specialized-crux-pro, specialized-diverge-expert-axs, specialized-diverge-pro-ltd, specialized-s-works-crux, trek-checkmate-slr-7-axs, trek-checkmate-slr-9-axs, trek-checkpoint-sl-6-axs, trek-checkpoint-sl-7-axs, wilier-rave-slr-id2-force-xplr-axs, wilier-rave-slr-id2-red-xplr-axs, wilier-rave-slr-red-xplr-axs",TRUE,Title,Default Title,VM-G-SRAMFORCEXG13711,0,shopify,99,continue,manual,,,TRUE,TRUE,active
sram-rival-xg-1351-1371-10-46,SRAM Rival XG-1351/1371 10-46,<p><strong>Kompatibilität:</strong> Gravel — passend laut VeloMatch-Kompatibilitätsmatrix.</p>,SRAM,,Kassette,"vm-kat-kassette, 3t-racemax-wpnt-custom-build, 3t-racemax2-italia-custom-build, bmc-kaius-01-one, bmc-kaius-01-three, bmc-kaius-01-two, bmc-urs-01, cannondale-superx-1, cannondale-superx-lab71, canyon-grail-cf-sl-7-aero, canyon-grail-cfr-xplr, canyon-grizl-cf-8-w-rift, cervelo-aspero-5-red-xplr-axs, cervelo-aspero-rival-xplr-axs, colnago-g4-x-sram-force-xplr-1x13, colnago-g4-x-sram-red-xplr-axs, cube-nuroad-c-62-sl, cube-nuroad-c-62-slt, factor-ostro-gravel-force-xplr-axs, factor-ostro-gravel-red-xplr-axs, focus-atlas-8-9, giant-revolt-advanced-pro-0, open-u-p-2-0-force-xplr-axs, open-u-p-p-e-r-2-0-red-xplr-axs, orbea-terra-m30, orbea-terra-race-m10-m20ltd, orbea-terra-race-m30, pinarello-dogma-gr-red-xplr-axs, pinarello-grevil-f5, pinarello-grevil-f7, pinarello-grevil-f9, ridley-astr-rs-red-xplr-axs, ridley-kanzo-fast-2-0-force-xplr-axs, ridley-kanzo-fast-2-0-red-xplr-axs, rose-backroad-ff-red-xplr-axs, scott-addict-gravel-rc, specialized-crux-pro, specialized-diverge-expert-axs, specialized-diverge-pro-ltd, specialized-s-works-crux, trek-checkmate-slr-7-axs, trek-checkmate-slr-9-axs, trek-checkpoint-sl-6-axs, trek-checkpoint-sl-7-axs, wilier-rave-slr-id2-force-xplr-axs, wilier-rave-slr-id2-red-xplr-axs, wilier-rave-slr-red-xplr-axs",TRUE,Title,Default Title,VM-G-SRAMRIVALXG13511,0,shopify,99,continue,manual,,,TRUE,TRUE,active
sram-powerlock-13s,SRAM PowerLock 13s,<p><strong>Kompatibilität:</strong> Gravel — passend laut VeloMatch-Kompatibilitätsmatrix.</p>,SRAM,,Kettenschloss,"vm-kat-kettenschloss, 3t-racemax-wpnt-custom-build, 3t-racemax2-italia-custom-build, bmc-kaius-01-one, bmc-kaius-01-three, bmc-kaius-01-two, bmc-urs-01, cannondale-superx-1, cannondale-superx-lab71, canyon-grail-cf-sl-7-aero, canyon-grail-cfr-xplr, canyon-grizl-cf-8-w-rift, cervelo-aspero-5-red-xplr-axs, cervelo-aspero-rival-xplr-axs, colnago-g4-x-sram-force-xplr-1x13, colnago-g4-x-sram-red-xplr-axs, cube-nuroad-c-62-sl, cube-nuroad-c-62-slt, factor-ostro-gravel-force-xplr-axs, factor-ostro-gravel-red-xplr-axs, focus-atlas-8-9, giant-revolt-advanced-pro-0, open-u-p-2-0-force-xplr-axs, open-u-p-p-e-r-2-0-red-xplr-axs, orbea-terra-m30, orbea-terra-race-m10-m20ltd, orbea-terra-race-m30, pinarello-dogma-gr-red-xplr-axs, pinarello-grevil-f5, pinarello-grevil-f7, pinarello-grevil-f9, ridley-astr-rs-red-xplr-axs, ridley-kanzo-fast-2-0-force-xplr-axs, ridley-kanzo-fast-2-0-red-xplr-axs, rose-backroad-ff-red-xplr-axs, scott-addict-gravel-rc, specialized-crux-pro, specialized-diverge-expert-axs, specialized-diverge-pro-ltd, specialized-s-works-crux, trek-checkmate-slr-7-axs, trek-checkmate-slr-9-axs, trek-checkpoint-sl-6-axs, trek-checkpoint-sl-7-axs, wilier-rave-slr-id2-force-xplr-axs, wilier-rave-slr-id2-red-xplr-axs, wilier-rave-slr-red-xplr-axs",TRUE,Title,Default Title,VM-G-SRAMPOWERLOCK13S,0,shopify,99,continue,manual,,,TRUE,TRUE,active
bb386evo,BB386EVO,<p><strong>Kompatibilität:</strong> Gravel — passend laut VeloMatch-Kompatibilitätsmatrix.</p>,BB386EVO,,Innenlager,"vm-kat-innenlager, 3t-exploro-ultra-custom-build, 3t-extrema-italia-custom-build, 3t-primo2-wpnt-custom-build, 3t-racemax-wpnt-custom-build, 3t-racemax2-italia-custom-build, 3t-ultra2-italia-custom-build, open-u-p-grx800-vorgaenger, open-wi-de-frameset-vorgaenger, wilier-rave-slr-force-axs, wilier-rave-slr-id2-force-xplr-axs, wilier-rave-slr-id2-grx-di2-1x, wilier-rave-slr-id2-red-xplr-axs, wilier-rave-slr-red-xplr-axs",TRUE,Title,Default Title,VM-G-BB386EVO,0,shopify,99,continue,manual,,,TRUE,TRUE,active
sram-red-force-rival-xplr-axs-dub-wide,SRAM Red/Force/Rival XPLR AXS DUB Wide,<p><strong>Kompatibilität:</strong> Gravel — passend laut VeloMatch-Kompatibilitätsmatrix.</p>,SRAM,,Kurbelgarnitur,"vm-kat-kurbelgarnitur, 3t-racemax-wpnt-custom-build, 3t-racemax2-italia-custom-build, bmc-kaius-01-one, bmc-kaius-01-three, bmc-kaius-01-two, bmc-urs-01, cannondale-superx-1, cannondale-superx-lab71, canyon-grail-cf-sl-7-aero, canyon-grail-cfr-xplr, canyon-grizl-cf-8-w-rift, cervelo-aspero-5-red-xplr-axs, cervelo-aspero-rival-xplr-axs, colnago-g4-x-sram-force-xplr-1x13, colnago-g4-x-sram-red-xplr-axs, cube-nuroad-c-62-sl, cube-nuroad-c-62-slt, factor-ostro-gravel-force-xplr-axs, factor-ostro-gravel-red-xplr-axs, focus-atlas-8-9, giant-revolt-advanced-pro-0, open-u-p-2-0-force-xplr-axs, open-u-p-p-e-r-2-0-red-xplr-axs, orbea-terra-m30, orbea-terra-race-m10-m20ltd, orbea-terra-race-m30, pinarello-dogma-gr-red-xplr-axs, pinarello-grevil-f5, pinarello-grevil-f7, pinarello-grevil-f9, ridley-astr-rs-red-xplr-axs, ridley-kanzo-fast-2-0-force-xplr-axs, ridley-kanzo-fast-2-0-red-xplr-axs, rose-backroad-ff-red-xplr-axs, scott-addict-gravel-rc, specialized-crux-pro, specialized-diverge-expert-axs, specialized-diverge-pro-ltd, specialized-s-works-crux, trek-checkmate-slr-7-axs, trek-checkmate-slr-9-axs, trek-checkpoint-sl-6-axs, trek-checkpoint-sl-7-axs, wilier-rave-slr-id2-force-xplr-axs, wilier-rave-slr-id2-red-xplr-axs, wilier-rave-slr-red-xplr-axs",TRUE,Title,Default Title,VM-G-SRAMREDFORCERIVA,0,shopify,99,continue,manual,,,TRUE,TRUE,active
sram-red-force-rival-xplr-etap-axs,SRAM Red/Force/Rival XPLR eTap AXS,<p><strong>Kompatibilität:</strong> Gravel — passend laut VeloMatch-Kompatibilitätsmatrix.</p>,SRAM,,Schaltwerk,"vm-kat-schaltwerk, 3t-racemax-wpnt-custom-build, 3t-racemax2-italia-custom-build, bmc-kaius-01-one, bmc-kaius-01-three, bmc-kaius-01-two, bmc-urs-01, cannondale-superx-1, cannondale-superx-lab71, canyon-grail-cf-sl-7-aero, canyon-grail-cfr-xplr, canyon-grizl-cf-8-w-rift, cervelo-aspero-5-red-xplr-axs, cervelo-aspero-rival-xplr-axs, colnago-g4-x-sram-force-xplr-1x13, colnago-g4-x-sram-red-xplr-axs, cube-nuroad-c-62-sl, cube-nuroad-c-62-slt, factor-ostro-gravel-force-xplr-axs, factor-ostro-gravel-red-xplr-axs, focus-atlas-8-9, giant-revolt-advanced-pro-0, open-u-p-2-0-force-xplr-axs, open-u-p-p-e-r-2-0-red-xplr-axs, orbea-terra-m30, orbea-terra-race-m10-m20ltd, orbea-terra-race-m30, pinarello-dogma-gr-red-xplr-axs, pinarello-grevil-f5, pinarello-grevil-f7, pinarello-grevil-f9, ridley-astr-rs-red-xplr-axs, ridley-kanzo-fast-2-0-force-xplr-axs, ridley-kanzo-fast-2-0-red-xplr-axs, rose-backroad-ff-red-xplr-axs, scott-addict-gravel-rc, specialized-crux-pro, specialized-diverge-expert-axs, specialized-diverge-pro-ltd, specialized-s-works-crux, trek-checkmate-slr-7-axs, trek-checkmate-slr-9-axs, trek-checkpoint-sl-6-axs, trek-checkpoint-sl-7-axs, wilier-rave-slr-id2-force-xplr-axs, wilier-rave-slr-id2-red-xplr-axs, wilier-rave-slr-red-xplr-axs",TRUE,Title,Default Title,VM-G-SRAMREDFORCERIVA2,0,shopify,99,continue,manual,,,TRUE,TRUE,active
