Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Status
shimano-fc-r9200-dura-ace-di2-172-5mm-50-34t,"Shimano FC-R9200 Dura-Ace Di2 172,5mm 50/34T",<p><strong>Kompatibilität:</strong> Alle Räder mit Shimano Dura-Ace Di2 (12-fach)</p><ul><li>Schaltgruppe: Dura-Ace Di2</li><li>Gang: 12-fach</li><li>Kettenblätter: 50/34T</li></ul>,Shimano,,Kurbelgarnitur,"vm-kat-kurbelgarnitur, bmc-rm-01-two-da-di2, bmc-slr-01-two-da-di2, bmc-tmr-01-two-da-di2, cervelo-caledonia-5-dura-ace-di2, cervelo-r5-dura-ace-di2, cervelo-s5-dura-ace-di2, colnago-c68-disc-dura-ace-di2, colnago-v3rs-dura-ace-di2, colnago-v4rs-dura-ace-di2, colnago-v5rs-dura-ace-di2, colnago-y1rs-dura-ace-di2, factor-o2-vam-da-di2-custom-build, factor-one-da-di2-custom-build, factor-ostro-vam-da-di2-custom-build, factor-slick-da-di2-custom-build, factor-vista-da-di2-custom-build, look-795-blade-rs-da-di2, pinarello-dogma-f-dura-ace-di2, pinarello-dogma-f-dura-ace-di2-powermeter, pinarello-dogma-x-dura-ace-di2, pinarello-f9-dura-ace-di2, pinarello-new-f9-dura-ace-di2, pinarello-x9-dura-ace-di2, rose-shave-ffx-dura-ace-di2, rose-xlite-06-dura-ace-di2, rose-xlite-unltd-dura-ace-di2, scott-addict-10-da-di2, scott-addict-rc-pro-da-di2, scott-foil-rc-pro-da-di2, specialized-s-works-aethos-2-da-di2, specialized-s-works-aethos-da-di2, specialized-s-works-roubaix-da-di2, specialized-s-works-tarmac-sl8-da-di2",TRUE,Title,Default Title,VM-FCR9200DA,0,shopify,99,continue,manual,389.99,,TRUE,TRUE,active
shimano-fc-r8100-ultegra-di2-172-5mm-50-34t,"Shimano FC-R8100 Ultegra Di2 172,5mm 50/34T",<p><strong>Kompatibilität:</strong> Alle Räder mit Shimano Ultegra Di2 (12-fach)</p><ul><li>Schaltgruppe: Ultegra Di2</li><li>Gang: 12-fach</li><li>Kettenblätter: 50/34T</li></ul>,Shimano,,Kurbelgarnitur,"vm-kat-kurbelgarnitur, bmc-rm-01-four-ultegra-di2, bmc-slr-01-three-ultegra-di2, bmc-tmr-01-four-ultegra-di2, cervelo-caledonia-5-ultegra-di2, cervelo-r5-ultegra-di2, cervelo-s5-ultegra-di2, cervelo-soloist-ultegra-di2, colnago-v4-ultegra-di2, colnago-v4rs-ultegra-di2, colnago-v5rs-ultegra-di2, factor-o2-vam-ultegra-di2-custom-build, factor-vista-ultegra-di2-custom-build, look-765-optimum-ultegra-di2, look-785-huez-rs-disc-ultegra-di2, look-785-huez-ultegra-di2-pro-team-black, look-795-blade-rs-ultegra-di2, pinarello-f7-ultegra-di2, pinarello-new-f7-ultegra-di2, pinarello-prince-ultegra-di2, pinarello-x7-ultegra-di2, rose-reveal-06-ultegra-di2, rose-shave-ff-ultegra-di2, rose-shave-ultegra-di2, rose-xlite-04-ultegra-di2, rose-xlite-06-ultegra-di2, scott-addict-20-ultegra-di2, scott-addict-rc-10-ultegra-di2, scott-addict-rc-ultimate-ultegra-di2, scott-foil-rc-10-ultegra-di2, specialized-aethos-2-expert-ultegra-di2, specialized-aethos-2-pro-ultegra-di2, specialized-aethos-expert-ultegra-di2, specialized-roubaix-expert-ultegra-di2, specialized-tarmac-sl8-pro-ultegra-di2",TRUE,Title,Default Title,VM-FCR8100ULT,0,shopify,99,continue,manual,249.99,,TRUE,TRUE,active
shimano-fc-r7100-105-di2-172-5mm-50-34t,"Shimano FC-R7100 105 Di2 172,5mm 50/34T",<p><strong>Kompatibilität:</strong> Alle Räder mit Shimano 105 Di2 (12-fach)</p><ul><li>Schaltgruppe: 105 Di2</li><li>Gang: 12-fach</li><li>Kettenblätter: 50/34T</li></ul>,Shimano,,Kurbelgarnitur,"vm-kat-kurbelgarnitur, bmc-rm-01-five-105-di2, bmc-teammachine-alr-one-105-di2, bmc-tmr-01-five-105-di2, cervelo-soloist-105-di2, colnago-v4-105-di2, look-765-optimum-105-di2, look-785-huez-105-di2, pinarello-f3-105-di2, pinarello-f5-105-di2, pinarello-new-f5-105-di2, pinarello-paris-105-di2, pinarello-x3-105-di2, pinarello-x5-105-di2, rose-reveal-04-105-di2, rose-shave-105-di2, scott-addict-40-105-di2, scott-addict-rc-20-105-di2, scott-foil-rc-20-105-di2, scott-speedster-10-105-di2, specialized-tarmac-sl8-comp-105-di2",TRUE,Title,Default Title,VM-FCR7100105,0,shopify,99,continue,manual,159.99,,TRUE,TRUE,active
shimano-fc-r7000-105-172-5mm-50-34t,"Shimano FC-R7000 105 172,5mm 50/34T",<p><strong>Kompatibilität:</strong> Alle Räder mit Shimano 105 mechanisch (11-fach)</p><ul><li>Schaltgruppe: 105 (mechanisch)</li><li>Gang: 11-fach</li><li>Kettenblätter: 50/34T</li></ul>,Shimano,,Kurbelgarnitur,"vm-kat-kurbelgarnitur, look-765-optimum-105-mechanisch, look-785-huez-105-mechanisch, pinarello-f1-105-mechanisch, pinarello-x1-105-mechanisch, rose-xlite-04-105-mech, scott-addict-50-105-mech",TRUE,Title,Default Title,VM-FCR7000105M,0,shopify,99,continue,manual,119.99,,TRUE,TRUE,active
sram-red-axs-wide-crankset-172-5mm-48-35t,"SRAM Red AXS Wide 172,5mm 48/35T",<p><strong>Kompatibilität:</strong> Alle Räder mit SRAM Red AXS (12-fach)</p><ul><li>Schaltgruppe: Red AXS</li><li>Gang: 12-fach</li><li>Kettenblätter: 48/35T</li></ul>,SRAM,,Kurbelgarnitur,"vm-kat-kurbelgarnitur, bmc-rm-01-one-red-axs, bmc-slr-01-one-red-axs, bmc-tmr-01-one-red-axs, cervelo-caledonia-5-red-axs, cervelo-r5-red-axs, cervelo-r5-sram-red-axs, cervelo-s5-red-axs, colnago-v3rs-sram-red-axs, colnago-v4rs-sram-red-axs, colnago-v5rs-sram-red-axs, colnago-y1rs-sram-red-axs, factor-o2-vam-red-axs-custom-build, factor-ostro-vam-red-axs-custom-build, look-785-huez-rs-red-axs, look-795-blade-rs-red-axs, pinarello-dogma-f-sram-red-axs, pinarello-dogma-x-sram-red-axs, rose-shave-ffx-red-axs, rose-xlite-06-red-etap-axs, scott-addict-premium-red-axs, scott-addict-rc-team-red-axs, specialized-s-works-aethos-2-red-axs, specialized-s-works-tarmac-sl8-red-axs, specialized-s-works-tarmac-sl8-red-etap-axs, trek-madone-slr-9-red-axs",TRUE,Title,Default Title,VM-SRAMREDAXSW,0,shopify,99,continue,manual,529.99,,TRUE,TRUE,active
sram-force-axs-wide-crankset-172-5mm-48-35t,"SRAM Force AXS Wide 172,5mm 48/35T",<p><strong>Kompatibilität:</strong> Alle Räder mit SRAM Force AXS (12-fach)</p><ul><li>Schaltgruppe: Force AXS</li><li>Gang: 12-fach</li><li>Kettenblätter: 48/35T</li></ul>,SRAM,,Kurbelgarnitur,"vm-kat-kurbelgarnitur, bmc-rm-01-three-force-axs, bmc-slr-01-three-force-axs, bmc-tmr-01-three-force-axs, cervelo-caledonia-5-force-axs, cervelo-r5-force-axs, cervelo-s5-force-axs, cervelo-soloist-force-axs, pinarello-f7-sram-force-axs, pinarello-x7-sram-force-axs, rose-shave-ff-force-axs, rose-shave-force-axs, rose-xlite-04-force-etap-axs, rose-xlite-06-force-etap-axs, scott-foil-rc-team-force-axs, specialized-tarmac-sl8-expert-force-axs",TRUE,Title,Default Title,VM-SRAMFORCEAXSW,0,shopify,99,continue,manual,329.99,,TRUE,TRUE,active
sram-rival-axs-wide-crankset-172-5mm-48-35t,"SRAM Rival AXS Wide 172,5mm 48/35T",<p><strong>Kompatibilität:</strong> Alle Räder mit SRAM Rival AXS (12-fach)</p><ul><li>Schaltgruppe: Rival AXS</li><li>Gang: 12-fach</li><li>Kettenblätter: 48/35T</li></ul>,SRAM,,Kurbelgarnitur,"vm-kat-kurbelgarnitur, cervelo-soloist-rival-axs, colnago-v4-sram-rival-axs, look-765-optimum-rival-axs, look-785-huez-rival-axs-e1, rose-reveal-04-rival-axs, rose-shave-rival-axs, specialized-aethos-comp-rival-axs, specialized-roubaix-comp-rival-axs, specialized-tarmac-sl8-comp-rival-axs",TRUE,Title,Default Title,VM-SRAMRIVALAXSW,0,shopify,99,continue,manual,199.99,,TRUE,TRUE,active
shimano-rd-r9250-dura-ace-di2,Shimano RD-R9250 Dura-Ace Di2 12-fach,<p><strong>Kompatibilität:</strong> Alle Räder mit Shimano Dura-Ace Di2</p><ul><li>Schaltgruppe: Dura-Ace Di2</li><li>Gang: 12-fach</li><li>Montage: Direktmontage</li></ul>,Shimano,,Schaltwerk,"vm-kat-schaltwerk, bmc-rm-01-two-da-di2, bmc-slr-01-two-da-di2, bmc-tmr-01-two-da-di2, cervelo-caledonia-5-dura-ace-di2, cervelo-r5-dura-ace-di2, cervelo-s5-dura-ace-di2, colnago-c68-disc-dura-ace-di2, colnago-v3rs-dura-ace-di2, colnago-v4rs-dura-ace-di2, colnago-v5rs-dura-ace-di2, colnago-y1rs-dura-ace-di2, factor-o2-vam-da-di2-custom-build, factor-one-da-di2-custom-build, factor-ostro-vam-da-di2-custom-build, factor-slick-da-di2-custom-build, factor-vista-da-di2-custom-build, look-795-blade-rs-da-di2, pinarello-dogma-f-dura-ace-di2, pinarello-dogma-f-dura-ace-di2-powermeter, pinarello-dogma-x-dura-ace-di2, pinarello-f9-dura-ace-di2, pinarello-new-f9-dura-ace-di2, pinarello-x9-dura-ace-di2, rose-shave-ffx-dura-ace-di2, rose-xlite-06-dura-ace-di2, rose-xlite-unltd-dura-ace-di2, scott-addict-10-da-di2, scott-addict-rc-pro-da-di2, scott-foil-rc-pro-da-di2, specialized-s-works-aethos-2-da-di2, specialized-s-works-aethos-da-di2, specialized-s-works-roubaix-da-di2, specialized-s-works-tarmac-sl8-da-di2",TRUE,Title,Default Title,VM-RDR9250DA,0,shopify,99,continue,manual,279.99,,TRUE,TRUE,active
shimano-rd-r8150-ultegra-di2,Shimano RD-R8150 Ultegra Di2 12-fach,<p><strong>Kompatibilität:</strong> Alle Räder mit Shimano Ultegra Di2</p><ul><li>Schaltgruppe: Ultegra Di2</li><li>Gang: 12-fach</li><li>Montage: Direktmontage</li></ul>,Shimano,,Schaltwerk,"vm-kat-schaltwerk, bmc-rm-01-four-ultegra-di2, bmc-slr-01-three-ultegra-di2, bmc-tmr-01-four-ultegra-di2, cervelo-caledonia-5-ultegra-di2, cervelo-r5-ultegra-di2, cervelo-s5-ultegra-di2, cervelo-soloist-ultegra-di2, colnago-v4-ultegra-di2, colnago-v4rs-ultegra-di2, colnago-v5rs-ultegra-di2, factor-o2-vam-ultegra-di2-custom-build, factor-vista-ultegra-di2-custom-build, look-765-optimum-ultegra-di2, look-785-huez-rs-disc-ultegra-di2, look-785-huez-ultegra-di2-pro-team-black, look-795-blade-rs-ultegra-di2, pinarello-f7-ultegra-di2, pinarello-new-f7-ultegra-di2, pinarello-prince-ultegra-di2, pinarello-x7-ultegra-di2, rose-reveal-06-ultegra-di2, rose-shave-ff-ultegra-di2, rose-shave-ultegra-di2, rose-xlite-04-ultegra-di2, rose-xlite-06-ultegra-di2, scott-addict-20-ultegra-di2, scott-addict-rc-10-ultegra-di2, scott-addict-rc-ultimate-ultegra-di2, scott-foil-rc-10-ultegra-di2, specialized-aethos-2-expert-ultegra-di2, specialized-aethos-2-pro-ultegra-di2, specialized-aethos-expert-ultegra-di2, specialized-roubaix-expert-ultegra-di2, specialized-tarmac-sl8-pro-ultegra-di2",TRUE,Title,Default Title,VM-RDR8150ULT,0,shopify,99,continue,manual,169.99,,TRUE,TRUE,active
shimano-rd-r7150-105-di2,Shimano RD-R7150 105 Di2 12-fach,<p><strong>Kompatibilität:</strong> Alle Räder mit Shimano 105 Di2</p><ul><li>Schaltgruppe: 105 Di2</li><li>Gang: 12-fach</li></ul>,Shimano,,Schaltwerk,"vm-kat-schaltwerk, bmc-rm-01-five-105-di2, bmc-teammachine-alr-one-105-di2, bmc-tmr-01-five-105-di2, cervelo-soloist-105-di2, colnago-v4-105-di2, look-765-optimum-105-di2, look-785-huez-105-di2, pinarello-f3-105-di2, pinarello-f5-105-di2, pinarello-new-f5-105-di2, pinarello-paris-105-di2, pinarello-x3-105-di2, pinarello-x5-105-di2, rose-reveal-04-105-di2, rose-shave-105-di2, scott-addict-40-105-di2, scott-addict-rc-20-105-di2, scott-foil-rc-20-105-di2, scott-speedster-10-105-di2, specialized-tarmac-sl8-comp-105-di2",TRUE,Title,Default Title,VM-RDR7150105,0,shopify,99,continue,manual,109.99,,TRUE,TRUE,active
