Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Status
shimano-cn-m9100-dura-acextr-12s-116-glieder,Shimano CN-M9100 Dura-Ace/XTR 12s (116 Glieder),<p><strong>Kompatibilität:</strong> Alle Shimano 12-fach Räder</p><ul><li>Schaltgruppen-Hersteller: Shimano</li><li>Gang: 12-fach</li></ul>,Shimano,Kette,Kette,"vm-kat-kette, vm-groupset-shimano, vm-speed-12",TRUE,Title,Default Title,VM-SHIMANOCNM9100D,0,shopify,99,continue,manual,34.99,,TRUE,TRUE,active
shimano-cn-m8100-ultegraxt-12s-116-glieder,Shimano CN-M8100 Ultegra/XT 12s (116 Glieder),<p><strong>Kompatibilität:</strong> Alle Shimano 12-fach Räder</p><ul><li>Schaltgruppen-Hersteller: Shimano</li><li>Gang: 12-fach</li></ul>,Shimano,Kette,Kette,"vm-kat-kette, vm-groupset-shimano, vm-speed-12",TRUE,Title,Default Title,VM-SHIMANOCNM8100U,0,shopify,99,continue,manual,24.99,,TRUE,TRUE,active
shimano-cn-m7100-slx105-12s-116-glieder,Shimano CN-M7100 SLX/105 12s (116 Glieder),<p><strong>Kompatibilität:</strong> Alle Shimano 12-fach Räder</p><ul><li>Schaltgruppen-Hersteller: Shimano</li><li>Gang: 12-fach</li></ul>,Shimano,Kette,Kette,"vm-kat-kette, vm-groupset-shimano, vm-speed-12",TRUE,Title,Default Title,VM-SHIMANOCNM7100S,0,shopify,99,continue,manual,19.99,,TRUE,TRUE,active
shimano-cn-hg601-11s-116-glieder,Shimano CN-HG601 11s (116 Glieder),<p><strong>Kompatibilität:</strong> Alle Shimano 11-fach Räder</p><ul><li>Schaltgruppen-Hersteller: Shimano</li><li>Gang: 11-fach</li></ul>,Shimano,Kette,Kette,"vm-kat-kette, vm-groupset-shimano, vm-speed-11",TRUE,Title,Default Title,VM-SHIMANOCNHG6011,0,shopify,99,continue,manual,17.99,,TRUE,TRUE,active
shimano-cn-hg71-8s-116-glieder,Shimano CN-HG71 8s (116 Glieder),<p><strong>Kompatibilität:</strong> Shimano Claris 8-fach Räder</p><ul><li>Schaltgruppen-Hersteller: Shimano</li><li>Gang: 8-fach</li></ul>,Shimano,Kette,Kette,"vm-kat-kette, vm-groupset-shimano, vm-speed-8",TRUE,Title,Default Title,VM-SHIMANOCNHG718S,0,shopify,99,continue,manual,9.99,,TRUE,TRUE,active
sram-red-d1-e1-flattop-12s-120-glieder,SRAM Red D1 / E1 Flattop 12s (120 Glieder),<p><strong>Kompatibilität:</strong> Alle SRAM 12-fach AXS Räder</p><ul><li>Schaltgruppen-Hersteller: SRAM</li><li>Gang: 12-fach</li></ul>,SRAM,Kette,Kette,"vm-kat-kette, vm-groupset-sram, vm-speed-12",TRUE,Title,Default Title,VM-SRAMREDD1E1FLA,0,shopify,99,continue,manual,39.99,,TRUE,TRUE,active
sram-force-d1-flattop-12s-120-glieder,SRAM Force D1 Flattop 12s (120 Glieder),<p><strong>Kompatibilität:</strong> Alle SRAM 12-fach AXS Räder</p><ul><li>Schaltgruppen-Hersteller: SRAM</li><li>Gang: 12-fach</li></ul>,SRAM,Kette,Kette,"vm-kat-kette, vm-groupset-sram, vm-speed-12",TRUE,Title,Default Title,VM-SRAMFORCED1FLAT,0,shopify,99,continue,manual,29.99,,TRUE,TRUE,active
sram-rival-d1-flattop-12s-120-glieder,SRAM Rival D1 Flattop 12s (120 Glieder),<p><strong>Kompatibilität:</strong> Alle SRAM 12-fach AXS Räder</p><ul><li>Schaltgruppen-Hersteller: SRAM</li><li>Gang: 12-fach</li></ul>,SRAM,Kette,Kette,"vm-kat-kette, vm-groupset-sram, vm-speed-12",TRUE,Title,Default Title,VM-SRAMRIVALD1FLAT,0,shopify,99,continue,manual,22.99,,TRUE,TRUE,active
campagnolo-super-record-c13-12s,Campagnolo Super Record C13 12s,<p><strong>Kompatibilität:</strong> Alle Campagnolo 12-fach Räder</p><ul><li>Schaltgruppen-Hersteller: Campagnolo</li><li>Gang: 12-fach</li></ul>,Campagnolo,Kette,Kette,"vm-kat-kette, vm-groupset-campagnolo, vm-speed-12",TRUE,Title,Default Title,VM-CAMPAGNOLOSUPERR,0,shopify,99,continue,manual,54.99,,TRUE,TRUE,active
shimano-cs-r9200-dura-ace-12s-11-30,Shimano CS-R9200 Dura-Ace 12s 11-30,<p><strong>Kompatibilität:</strong> Alle Shimano 12-fach Räder</p><ul><li>Schaltgruppen-Hersteller: Shimano</li><li>Gang: 12-fach</li></ul>,Shimano,Kassette,Kassette,"vm-kat-kassette, vm-groupset-shimano, vm-speed-12",TRUE,Title,Default Title,VM-SHIMANOCSR9200D,0,shopify,99,continue,manual,279.99,,TRUE,TRUE,active
